Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
113555-7,Alfa,-6.3442,31.07046,ALFA,Katavi Region,Mpanda District,Mpanda MC,Kashaulili,Majengo A,Level IA2 (Dispensary Laboratory),,Private,01-07-19,759162083,1
113080-6,Alfa,,,,Ruvuma Region,Namtumbo District,Namtumbo DC,Namtumbo,,Level IA2 (Dispensary Laboratory),,Private,,,
111435-4,Alfa,-6.79789,39.27839,,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Mashariki,Kibasila,Specialised Clinic,,Private,01-01-70,2.55674E+11,1
111703-5,Alfa-Prolife,-6.796398,37.676988,Alfa-Prolife,Morogoro Region,Morogoro District,Morogoro MC,Tungi,Mjimwema 'A',Dispensary,,Private,01-01-70,,7
113047-5,Alinda,-1.32175,31.793918,,Kagera Region,Bukoba District,Bukoba MC,Rwamishenye,National(NHC),Level IA2 (Dispensary Laboratory),,Private,03-08-18,,
112626-7,Alira,-6.8092,39.28655,,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Mashariki,Kibasila,Basic Dental Clinic,,Private,01-01-70,,
110303-5,Aljamih,-6.80408,37.66922,,Morogoro Region,Morogoro District,Morogoro MC,Mwembesongo,Mwembesongwe,Dispensary,,Private,09-03-75,223779,
111899-1,Aljumaa,-6.81801,39.27576,Aljumaa,Dar es Salaam Region,Ilala District,Ilala MC,Kariakoo,Kariakoo Mashariki,Basic Dental Clinic,,Private,01-01-17,713575621,
100087-6,Alkaria,-3.32432,36.30118,Arkaria Dispensary,Arusha Region,Monduli District,Monduli DC,Sepeko,Arkaria,Dispensary,,Public,01-01-70,768596184,2
111900-7,All smile,-6.811608,39.286797,Dental smile,Dar es Salaam Region,Ilala District,Ilala MC,Kisutu,Kisutu,Basic Dental Clinic,,Private,04-08-14,,
100090-0,Alliance One,-6.77842,37.76137,,Morogoro Region,Morogoro District,Morogoro DC,Mkambarani,Mkambarani,Dispensary,,Private,,,
110974-3,Alma prinmat,-2.536471,32.834879,Zahanati,Mwanza Region,Sengerema District,Sengerema DC,Nyamatongo,Kamanga,Level IA2 (Dispensary Laboratory),,Private,,,5
100093-4,Alpha,-1.25212,34.4751,ALPHA PRINMAT,Mara Region,Tarime District,Tarime DC,Sirari,Kanisani,Maternity Home,,Private,,756247454,6
112826-3,Alpha,-2.87762,32.26384,Alpha Health Laboratory,Geita Region,Geita District,Geita TC,Kalangalala,,Level IA2 (Dispensary Laboratory),,Private,,,
113307-3,Alpha,-2.493986,32.912633,,Mwanza Region,Ilemela District,Ilemela MC,Nyamanoro,,Level IA2 (Dispensary Laboratory),,Private,,,
112651-5,Alpha,-6.786597,37.659471,ALPHA,Morogoro Region,Morogoro District,Morogoro MC,Kihonda,,Level IA2 (Dispensary Laboratory),,Private,,782242408,
112337-1,Alpha,-7.46623,36.50618,,Iringa Region,Kilolo District,Kilolo DC,Ruaha Mbuyuni,Ruaha Mbuyuni,Dispensary,,Private,08-01-18,"0715607697,0754491678,0712056964",2
114233-0,Alpha,,,,Dodoma Region,Dodoma District,Dodoma MC,Mtumba,,Level IA2 (Dispensary Laboratory),,Private,,657357657,
114313-0,Alpha & Omega,,,,Dar es Salaam Region,Ilala District,Ilala MC,Kivule,Kivule,Level IA2 (Dispensary Laboratory),,Private,,657975526,
120372-8,ALPHA POLYCLINIC,,,ALPHA,Dodoma Region,Dodoma District,Dodoma MC,Mpunguzi,Mpunguzi,Poly Clinic,,Private,18-01-20,,
109507-4,Alsheikh,-7.46679,36.51212,Alsheikh,Iringa Region,Kilolo District,Kilolo DC,Ruaha Mbuyuni,Ruaha Mbuyuni,Dispensary,,Private,01-08-14,,4
112346-2,Alshifaa Medical Kidney,-6.761681,39.250331,Alshifa Medical Kidney,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Mikocheni,Mikocheni B,Medical Clinic,,Private,05-08-17,222774646,4
100095-9,ALT,,,,Dar es Salaam Region,Ubungo District,Ubungo MC,Sinza,Sinza A,Dispensary,,Private,,,
113497-2,ALT Centre,,,,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kinondoni,,Level IA2 (Dispensary Laboratory),,Private,,,
120300-9,AMAN,-1.338128,34.377443,AMAN HEALTH SERVICES,Mara Region,Tarime District,Tarime TC,Nyamisangura,Mwangaza,Poly Clinic,,Private,18-03-21,O718421925,
114461-7,Aman,,,,Tabora Region,Urambo District,Urambo DC,Nsenda,Itebulanda,Level IA2 (Dispensary Laboratory),,Private,,784766976,
100097-5,Amana,-6.82674,39.25926,Amana,Dar es Salaam Region,Ilala District,Ilala MC,Ilala,Shariff Shamba,Regional Referral Hospital,,Public,01-01-68,2861903,343
112749-7,Amana Eye Centre,-6.82798,39.25867,,Dar es Salaam Region,Ilala District,Ilala MC,Ilala,Mafuriko,Optometry Clinic,,Private,03-02-15,719858327,
113092-1,Amanda,,,,Ruvuma Region,Songea District,Madaba DC,Mahanje,Madaba,Level IA2 (Dispensary Laboratory),,Private,,,
113064-0,Amanda,,,,Njombe Region,Njombe District,Njombe TC,Mjimwema,,Level IA2 (Dispensary Laboratory),,Private,03-01-17,,
120292-8,AMANI,,,AMANI DISPENSARY,Mara Region,Bunda District,Bunda TC,Bunda Stoo,Bondeni,Dispensary,,Private,16-03-21,2.55742E+11,
113069-9,Amani,,,,Ruvuma Region,Songea District,Songea MC,Matarawe,,Level IA2 (Dispensary Laboratory),,Private,,,
100098-3,Amani,-3.34026,35.6806,,Arusha Region,Karatu District,Karatu DC,Karatu,Karatu Mjini,Dispensary,,Private,,,
100103-1,Amani,,,,Kilimanjaro Region,Moshi District,Moshi MC,Karanga,,Dispensary,,Private,,,
100108-0,Amani,-6.160399,35.760658,Amani,Dodoma Region,Dodoma District,Dodoma MC,Makole,Chimuli,Health Center,,Private,04-12-11,,28
100107-2,Amani,-5.10012,38.63348,Amani,Tanga Region,Muheza District,Muheza DC,Amani,Shebomeza,Dispensary,,Public,,,6
100109-8,Amani,-4.20857,35.75193,,Manyara Region,Babati District,Babati TC,Babati,Maisaka B,Maternity and Nursing Home,,Private,,784400555,1
111694-6,Amani,-5.71533,38.23912,Amani,Tanga Region,Handeni District,Handeni DC,Mazingara,Amani,Dispensary,,Public,07-01-17,,5
113304-0,Amani,-6.74867,38.90404,,Pwani Region,Kibaha District,Kibaha TC,Kibaha,Kwamfipa,Level IA2 (Dispensary Laboratory),,Private,,,
111948-6,Amani,-10.76348,39.6334,AMANI Dispensary,Mtwara Region,Tandahimba District,Tandahimba DC,Tandahimba,Matogoro,Dispensary,,Private,01-01-70,786483613,4
112705-9,Amani,-8.385899999999999,36.6693,,Morogoro Region,Ulanga District,Ulanga DC,Lupiro,,Level IA2 (Dispensary Laboratory),,Private,,,
113100-2,Amani,,,,Simiyu Region,Bariadi District,Bariadi TC,Bariadi,,Level IA2 (Dispensary Laboratory),,Private,,,
100100-7,Amani,-9.946479999999999,34.89538,Amani,Njombe Region,Ludewa District,Ludewa DC,Mundindi,Amani,Dispensary,,Public,01-01-70,622775749,
113390-9,Amani,-2.483353,32.907111,,Mwanza Region,Ilemela District,Ilemela MC,Nyamanoro,,Level IA2 (Dispensary Laboratory),,Private,01-01-70,,
100105-6,Amani,-11.47111,36.65333,Amani,Ruvuma Region,Namtumbo District,Namtumbo DC,Magazini,Amani,Dispensary,,Public,01-01-70,767635509,1
114470-8,Amani,,,Amani,Mwanza Region,Ilemela District,Ilemela MC,Nyakato,Kangaye Kaskazini,Maternity Home,,Private,01-01-70,2.55767E+11,1
102572-5,Amani,-6.80665,39.07537,Kibamba,Dar es Salaam Region,Ubungo District,Ubungo MC,Kwembe,Kwembe,Dispensary,,Public,07-01-65,768182725,2
100106-4,Amani,-11.21349,37.45284,Amani,Ruvuma Region,Tunduru District,Tunduru DC,Namasakata,Mchengamoto,Dispensary,,Public,01-01-70,,1
114689-3,Amani,-6.796040,37.650219,,Morogoro Region,Morogoro District,Morogoro MC,Kihonda Magorofani,Airport,Dispensary,,Private,07-01-20,718446282,4
114696-8,Amani,-10.58855,39.23804,Amani Dispensary,Mtwara Region,Newala District,Newala TC,Mcholi I,Amani,Dispensary,Foundation,Public,07-01-19,,
114850-1,Amani,-3.408407,37.520639,Royal,Kilimanjaro Region,Moshi District,Moshi DC,Kilema Kusini,Kilototoni,Dispensary,,Private,11-01-20,767935908,1
108988-7,Amani,-5.42361,38.02162,Amani Handeni,Tanga Region,Handeni District,Handeni TC,Mdoe,Mjimpya,Dispensary,,Private,01-01-70,763204943,4
100110-6,Amani Chogo,-2.51685,32.90191,Amani chogo,Mwanza Region,Nyamagana District,Nyamagana MC,Mirongo,Uhuru,Medical Clinic,,Private,12-05-92,767368733,4
111966-8,Amani GE,-3.368256,36.68539,,Arusha Region,Arusha District,Arusha CC,Kati,Pangani,Level IA2 (Dispensary Laboratory),,Private,,,
100111-4,Amani Igoma,-2.547683,32.979226,Amani Igoma,Mwanza Region,Nyamagana District,Nyamagana MC,Igoma,Dr. Shein,Dispensary,,Private,10-04-99,784554126,2
114211-6,Amani International Optical Centre,,,,Njombe Region,Njombe District,Njombe TC,Njombe Mjini,Kwivaha,Optometry Clinic,,Private,01-01-70,762182526,
111571-6,Amani Kiluvya,-6.80012,39.02161,Obeja,Pwani Region,Kisarawe District,Kisarawe DC,Kiluvya,Kiluvya 'B',Dispensary,,Private,01-01-70,713653366,2
111795-1,Amani Kiluvya,-6.95651,39.28335,Amani Kiluvya,Pwani Region,Mkuranga District,Mkuranga DC,Vikindu,Kipala Mpakani,Dispensary,,Private,,677337720,6
100112-2,Amani Makolo,-10.674759,35.135415,Amani Makoro Dispensary,Ruvuma Region,Mbinga District,Mbinga DC,Amani Makolo,Amani Makoro,Dispensary,,Public,01-01-70,,
112221-7,Amani Medics,-6.15357,35.73833,,Dodoma Region,Dodoma District,Dodoma MC,Chang'ombe,Chang'ombe Juu,Dispensary,,Private,01-01-70,,4
100113-0,Amani NIMR,-5.09886,38.6332,Amani NIMR,Tanga Region,Muheza District,Muheza DC,Amani,Shebomeza,Dispensary,,Public,,,
111548-4,Amani Pentecoaste,,,,Mbeya Region,Rungwe District,Rungwe DC,Masebe,Masebe,Dispensary,,Private,,,
111908-0,Amani Seif Memorial,-7.033906,39.070953,Kibaden dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Chanika,Zingiziwa,Dispensary,,Private,07-04-17,655547767,4
113770-2,Amani Terat,-3.88263,36.59731,Amani Terat,Manyara Region,Simanjiro District,Simanjiro DC,Terrat,,Dispensary,,Private,01-01-70,752447678,6
100116-3,Ambangulu,-5.07077,38.42567,,Tanga Region,Korogwe District,Korogwe DC,Vugiri,Makweli,Dispensary,,Private,07-01-15,,
100117-1,Amboni,-5.04776,39.05074,,Tanga Region,Tanga District,Tanga CC,Mzizima,Mleni,Dispensary,,Private,,,
112097-1,Ambreni,-3.36819,36.75618,Ambreni,Arusha Region,Arumeru District,Meru DC,Ambureni,Ambureni,Dispensary,,Public,01-01-70,,1
107961-5,AMEC,-5.48138,32.6768,AMEC,Tabora Region,Sikonge District,Sikonge DC,Tutuo,Tutuo,Dispensary,,Private,01-01-70,,2
100119-7,AMEC,-6.337284,31.070345,AMEC,Katavi Region,Mpanda District,Mpanda MC,Makanyagio,Makanyagio,Dispensary,,Private,07-12-06,025-2820556,6
115078-8,Ameck,-3.279712,37.581608,Nzawa,Kilimanjaro Region,Moshi District,Moshi DC,Mwika Kaskazini,Maring'a,Dispensary,,Private,01-01-21,,2
111640-9,Ameki,-9.605169999999999,33.85842,,Mbeya Region,Kyela District,Kyela DC,Kyela,Ndandalo,Dispensary,,Private,09-05-16,755247730,
113184-6,Amen,-5.02836,32.801762,,Tabora Region,Tabora District,Tabora MC,Ng`ambo,,Level IA2 (Dispensary Laboratory),,Private,,,
112037-7,Amen,-4.2082,35.74563,,Manyara Region,Babati District,Babati TC,Babati,Old-Majengo,Level IA2 (Dispensary Laboratory),,Private,,,
113333-9,Amen,-2.531975,32.940116,,Mwanza Region,Ilemela District,Ilemela MC,Nyakato,,Level IA2 (Dispensary Laboratory),,Private,,,
111681-3,Amen,-2.51155,30.6538,a,Kagera Region,Ngara District,Ngara DC,Ngara Mjini,Mubinyange,Dispensary,,Private,11-01-16,763968506,5
100120-5,Ameni,-9.599959999999999,33.86665,Ameni,Mbeya Region,Kyela District,Kyela DC,Kyela,Kyela kati,Dispensary,,Private,12-12-08,,2
100121-3,Ameni,-6.78339,39.22297,Amen,Dar es Salaam Region,Ubungo District,Ubungo MC,Sinza,Sinza A,Dispensary,,Private,01-01-70,,5
112596-2,Amenye,-8.92578,33.45772,Amenye zahanati,Mbeya Region,Mbeya District,Mbeya CC,Iyela,Ilembo,Level IA2 (Dispensary Laboratory),,Private,01-01-70,688797580,
111355-4,Amenye,-8.92578,33.45772,Amenye Hospitali,Mbeya Region,Mbeya District,Mbeya CC,Iyela,Ilembo,Dispensary,,Private,01-01-16,688797580,3
113194-5,Amigo,-5.069475,32.072481,,Tabora Region,Urambo District,Urambo DC,Urambo,,Level IA2 (Dispensary Laboratory),,Private,,,
111942-9,Amina,,,Amina,Tanga Region,Tanga District,Tanga CC,Mabawa,Miembeni A,Dispensary,,Private,,,
114225-6,Amina,,,,Singida Region,Mkalama District,Mkalama DC,Mpambala,,Level IA2 (Dispensary Laboratory),,Private,,783727740,
112694-5,Amina,,,Amina Nursing and Maternity Home,Tanga Region,Tanga District,Tanga CC,Tongoni,Tongoni,Maternity and Nursing Home,,Private,,713442237,
120384-3,AMO,,,AMO,Mwanza Region,Ilemela District,Ilemela MC,Nyamhongolo,Nyamhongolo,Dispensary,,Private,24-09-20,,
114310-6,Amodo morden,,,,Dar es Salaam Region,Ilala District,Ilala MC,Kinyerezi,Kinyerezi,Level IA2 (Dispensary Laboratory),,Private,,765850036,
113403-0,AMREF,-6.80899,39.28654,,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Mashariki,,Level III Single purpose Health Laboratory,,Private,06-01-04,,2
114336-1,Amref,-6.786322,39.251526,,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Mwananyamala,Kwa kopa,Level IA2 (Dispensary Laboratory),,Private,,,
107732-0,Amsterdam,-5.088497,39.110085,Tamta Makorora,Tanga Region,Tanga District,Tanga CC,Makorora,Makorora kati,Dispensary,,Private,,,4
109829-2,AMUCTA,-5.02433,32.81594,AMUCTA,Tabora Region,Tabora District,Tabora MC,Kanyenye,T.T.C,Dispensary,,Private,08-07-13,,
100123-9,Anamed,-2.97539,33.51805,Anamed,Mwanza Region,Kwimba District,Kwimba DC,Malya,Malya,Dispensary,,Private,,,2
100124-7,Ananda Marga,-6.928634,39.128981,Kwa Mfilipino,Dar es Salaam Region,Ilala District,Ilala MC,Pugu,Kinyamwezi,Dispensary,,Private,11-08-11,0788930921 / 0717515520,4
111521-1,Ane,-8.2525,36.361138,Ane,Morogoro Region,Kilombero District,Mlimba DC,Mofu,Mofu,Dispensary,,Private,09-05-16,786368682,4
110610-3,Ane Afya Care,-6.863498,39.167459,Ane Dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Ukonga,Mongo la ndege,Dispensary,,Private,05-12-15,717553182,4
112967-5,Angaza,-10.369,38.76437,Angaza Laboratory,Lindi Region,Nachingwea District,Nachingwea DC,Nachingwea,,Level IA2 (Dispensary Laboratory),,Private,05-04-18,,
111209-3,Angaza centre,-5.01643,32.80093,,Tabora Region,Tabora District,Tabora MC,Mbugani,,Medical Clinic,,Private,,,
111292-9,Angaza VCT,-10.67188,35.64617,ANGAZA,Ruvuma Region,Songea District,Songea MC,Misufini,Mabatini,Medical Clinic,,Public,09-03-99,025-2602970,
111236-6,ANGAZA- VCT,-3.39915,33.24945,AICT ANGAZA,Shinyanga Region,Shinyanga District,Shinyanga MC,Kambarage,Majengo,Medical Clinic,,Private,01-01-70,,
114418-7,Angel`s,,,,Pwani Region,Kisarawe District,Kisarawe DC,Kisarawe,Kisarawe,Level IA2 (Dispensary Laboratory),,Private,,762119974,
100127-0,Anglican,-6.79041,39.2154,,Dar es Salaam Region,Ubungo District,Ubungo MC,Ubungo,NHC,Dispensary,,Private,,,
100129-6,Anglican,-9.349741,34.771487,Anglican health center,Njombe Region,Njombe District,Njombe TC,Mjimwema,Mpechi,Health Center,,Private,01-01-70,769213255,32
100131-2,Anglo Charity,-9.262409999999999,32.83017,Anglo charty,Songwe Region,Momba District,Tunduma TC,Mpemba,kokoto,Dispensary,,Private,01-01-70,754032714,1
111600-3,Anifa,-6.807259,39.124126,,Dar es Salaam Region,Ubungo District,Ubungo MC,Msigani,Temboni,Dispensary,,Private,06-10-16,,6
112516-0,Anifa Mkunguni,-6.796379,39.230893,Mkunguni,Dar es Salaam Region,Ubungo District,Ubungo MC,Makurumla,Kilimahewa,Dispensary,,Private,07-05-18,656385200,6
114753-7,Anivona,-6.72633,38.87484,ANIVONA HEALTHCARE POLYCLINIC,Pwani Region,Kibaha District,Kibaha TC,Kongowe,Mwambisi,Poly Clinic,,Private,01-01-70,,4
113485-7,Anko J(MICO),-6.796865,39.248203,,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Tandale,,Level IA2 (Dispensary Laboratory),,Private,,,
114784-2,Annabelle,-2.2958,30.3223,,Kagera Region,Ngara District,Ngara DC,Mugoma,Mubuhenge,Health Center,,Public,01-01-70,,1
100133-8,Anne,-9.483319,33.8795,Anne dispensary- Kwa Dr. Mulinda,Mbeya Region,Kyela District,Kyela DC,Ipinda,Ipinda,Dispensary,,Private,01-01-70,0755-871508,4
113290-1,Anne,,,,Pwani Region,Bagamoyo District,Chalinze DC,Msata,,Level IA2 (Dispensary Laboratory),,Private,,,
100134-6,Anne Kiilu,-3.31783,37.41059,,Kilimanjaro Region,Moshi District,Moshi DC,Kimochi,Mdawi,Dispensary,,Public,08-10-13,272754957,1
110515-4,Ansa,-6.977323,39.212857,Ansa,Dar es Salaam Region,Temeke District,Temeke MC,Chamazi,Magengeni,Dispensary,,Private,12-11-14,,6
108704-8,Antonio Verna,-6.73669,39.22851,Antonio Verna,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kawe,Mzimuni,Dispensary,,Private,09-06-97,769646793,3
111927-0,Apala,-6.8124,39.26,Apala,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Magomeni,Makuti B,Dispensary,,Private,01-01-70,764855937,4
113222-4,Apan,,,,Tanga Region,Tanga District,Tanga CC,Chumbageni,,Level IA2 (Dispensary Laboratory),,Private,,,
111023-8,Apollo,-6.179807,35.746518,Apollo,Dodoma Region,Dodoma District,Dodoma MC,Madukani,Jamali,Health Center,,Private,,784808181,14
114415-3,Apollo,,,,Dar es Salaam Region,Ubungo District,Ubungo MC,Ubungo,Msewe,Level IA2 (Dispensary Laboratory),,Private,,769133100,
100136-1,Apollo Medical Centre,-6.81857,39.28314,Apollo,Dar es Salaam Region,Ilala District,Ilala MC,Mchafukoge,Mchafukoge,Hospital at Regional Level,,Private,01-01-70,2122274,20
100026-4,Apostles of Jesus Njia,-6.837991,39.190583,A.J.Njia Health Centre,Dar es Salaam Region,Ilala District,Ilala MC,Segerea,Ugombolwa,Health Center,,Private,07-01-15,,6
112755-4,Apple,-6.831202,37.663591,,Morogoro Region,Morogoro District,Morogoro MC,Bigwa,,Level IA2 (Dispensary Laboratory),,Private,,,
111202-8,Arafa,,,Arafa,Tabora Region,Nzega District,Nzega DC,Ndala,Kampala,Dispensary,,Private,07-01-15,,2
110833-1,Arafa,-7.65657,36.98372,Arafa,Morogoro Region,Kilosa District,Kilosa DC,Ruaha,Ruaha,Dispensary,,Private,07-11-17,,2
112270-4,Arafa,-8.391450000000001,39.27919,Arafa Dispensay,Lindi Region,Kilwa District,Kilwa DC,Kinjumbi,Marendego,Dispensary,,Private,01-01-19,,2
100141-1,Arafa (Capricorn),,,Capricon Maternity Home Clinic,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Makumbusho,Makumbusho,Maternity Home,,Private,,,
100142-9,Arafa Amani,-6.888277,39.118159,Kwa Dr. Amani,Dar es Salaam Region,Ilala District,Ilala MC,Pugu,Pugu station,Dispensary,,Private,07-02-12,715548806,4
110593-1,Arafa Anaba,-6.922286,39.235579,Arafa Anaba Dispensary,Dar es Salaam Region,Temeke District,Temeke MC,Chamazi,Msufini,Dispensary,,Private,01-01-70,752589760,4
111791-0,Arafa Anne,-6.84382,39.21831,Arafa Anne Dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Tabata,Msimbazi,Dispensary,,Private,04-01-17,754266317,3
110602-0,Arafa Azimio,-6.875625,39.266118,,Dar es Salaam Region,Temeke District,Temeke MC,Azimio,Mbuyuni,Dispensary,,Private,06-05-12,713564721,4
110576-6,Arafa Bangulo,-6.883416,39.158732,Arafa dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Pugu,Pugu station,Dispensary,,Private,07-10-18,716719930,6
110748-1,Arafa Boko,-6.62874,39.14956,Arafa Boko,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Bunju,Boko,Dispensary,,Private,01-01-70,713499427,5
111441-2,Arafa Buguruni Ghana,-6.832242,39.241984,,Dar es Salaam Region,Ilala District,Ilala MC,Buguruni,Kisiwani,Dispensary,,Private,07-01-16,,2
110525-3,Arafa Chanika,-7.004018,39.078184,Arafa,Dar es Salaam Region,Ilala District,Ilala MC,Chanika,Kimwani,Dispensary,,Private,01-01-70,,6
120401-5,ARAFA CHARAMBE,,,ARAFA CHARAMBE,Dar es Salaam Region,Temeke District,Temeke MC,Charambe,Nzasa B,Dispensary,,Private,19-09-20,,
110615-2,Arafa Charitable Kipunguni,-6.887388,39.18879,Makaburi Dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Dispensary,,Private,08-05-13,715580015,3
113522-7,Arafa CM,-6.92328,39.25856,,Dar es Salaam Region,Temeke District,Temeke MC,Charambe,Nzasa B,Level IA2 (Dispensary Laboratory),,Private,07-01-18,,
100154-4,Arafa Corner,-6.78898,39.19297,Arafa Kona,Dar es Salaam Region,Ubungo District,Ubungo MC,Ubungo,Kibo,Dispensary,,Private,01-01-70,0713-236718,6
114018-5,Arafa Daima,-6.93785,39.26202,,Dar es Salaam Region,Temeke District,Temeke MC,Mianzini,Mianzini,Dispensary,,Private,01-01-70,,6
100145-2,Arafa Fang Zho,,,Arafa Fang Zho,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Magomeni,Suna,Dispensary,,Private,,,
110607-9,Arafa Ferry,-6.822329,39.30231,Arafa,Dar es Salaam Region,Kigamboni District,Kigamboni MC,Kigamboni,Ferry,Dispensary,,Private,08-06-13,,4
100146-0,Arafa Furaha,,,,Dar es Salaam Region,Ilala District,Ilala MC,,,Dispensary,,Private,,,
111837-1,Arafa Highland,-6.88777,39.16945,Mazizini,Dar es Salaam Region,Ilala District,Ilala MC,Ukonga,Mazizini,Health Center,,Private,01-01-70,,14
100147-8,Arafa Huruma,-6.66753,39.1877,Arafa Huruma,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Wazo,Wazo,Dispensary,,Private,03-10-11,0655-681585,4
100148-6,Arafa Ikwiriri,-7.954202,38.982116,Arafa Ikwiriri Dispensary,Pwani Region,Rufiji District,Rufiji DC,Ikwiriri,Ikwiriri Kati,Dispensary,,Private,04-02-98,,2
100149-4,Arafa Jaribu,-7.546859,39.131019,Arafa foundation Trust Jaribu,Pwani Region,Rufiji District,Kibiti DC,Mjawa,Jaribu Mpakani,Dispensary,,Private,07-01-00,,5
112149-0,Arafa Juhudi,-6.927353,39.164791,Arafa Juhudi,Dar es Salaam Region,Ilala District,Ilala MC,Chanika,Tunguni,Dispensary,,Private,09-04-17,713197648,4
111666-4,Arafa Kiberege,-7.95188,36.861361,ARAFA KIBEREGE,Morogoro Region,Kilombero District,Ifakara TC,Kiberege,kiberege,Dispensary,,Private,11-10-16,,3
111089-9,Arafa Kigogo,-6.8161,39.2538,Arafa Kigogo,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kigogo,Mbuyuni,Dispensary,,Private,01-01-70,2.55714E+11,
110523-8,Arafa Kilakala,-6.868475,39.241608,Kanda ya Mashariki-DSM,Dar es Salaam Region,Temeke District,Temeke MC,Kilakala,Kilakala,Dispensary,,Private,06-05-12,614224495,4
100152-8,Arafa kilimahewa.,,,,Dar es Salaam Region,Ubungo District,Ubungo MC,Makuburi,Makuburi,Dispensary,,Private,,,
108662-8,Arafa Kilindoni,-7.91785,39.66385,Bamita,Pwani Region,Mafia District,Mafia DC,Kilindoni,Kilindoni,Dispensary,,Private,08-03-12,,5
111647-4,Arafa Kinyamwezi,-6.933848,39.119579,Arafa Kinyamezi,Dar es Salaam Region,Ilala District,Ilala MC,Pugu,Kinyamwezi,Dispensary,,Private,09-01-16,2.55713E+11,5
100153-6,Arafa Kisiwani,-6.843464,39.32206,Arafa Kisiwani,Dar es Salaam Region,Kigamboni District,Kigamboni MC,Tungi,Tungi,Dispensary,,Private,02-05-15,754985409,4
111658-1,Arafa Kisukuru,-6.826768,39.179626,Kwa Hamisi,Dar es Salaam Region,Ilala District,Ilala MC,Kimanga,Kisukuru,Dispensary,,Private,01-01-70,713441148,6
